Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10001,2012-10-22,-0.001543275,0.0408280012,0.0406886883,21,100
Market-Adjusted Model,10002,2012-10-22,-0.070000013,-0.025974985,-0.02776805,21,100
Market-Adjusted Model,10025,2012-10-22,0.0316873293,0.0751973425,0.0739192924,21,100
Market-Adjusted Model,10026,2012-10-22,-0.005059332,0.0382162292,0.0371726306,21,100
Market-Adjusted Model,10032,2012-10-22,-0.321310368,-0.295165217,-0.279078405,21,100
Market-Adjusted Model,10044,2012-10-22,-0.15551977,-0.124109487,-0.113287807,21,100
Market-Adjusted Model,10051,2012-10-22,-0.108850858,-0.070586479,-0.066618895,21,100
Market-Adjusted Model,10065,2012-10-22,-0.03490398,0.0075375721,0.0073279832,21,100
Market-Adjusted Model,10100,2012-10-22,-0.323977268,-0.154871241,-0.281745305,21,100
Market-Adjusted Model,10104,2012-10-22,-0.017189755,0.0264982881,0.025042208,21,100
Market-Adjusted Model,10107,2012-10-22,-0.025795661,0.0182607374,0.0164363022,21,100
Market-Adjusted Model,10113,2012-10-22,-0.014905623,0.0278584238,0.02732634,21,100
Market-Adjusted Model,10116,2012-10-22,-0.185393214,-0.143249128,-0.143161251,21,100
Market-Adjusted Model,10138,2012-10-22,0.0026649624,0.0464892549,0.0448969255,21,100
Market-Adjusted Model,10145,2012-10-22,0.0112322758,0.0546006474,0.0534642389,21,100
Market-Adjusted Model,10147,2012-10-22,-0.100769508,-0.060186261,-0.058537545,21,100
Market-Adjusted Model,10151,2012-10-22,0.0039534468,0.0465740184,0.0461854099,21,100
Market-Adjusted Model,10158,2012-10-22,-0.083765133,-0.040388601,-0.04153317,21,100
Market-Adjusted Model,10180,2012-10-22,-0.047548316,-0.001319604,-0.005316353,21,100
Market-Adjusted Model,10182,2012-10-22,0.0305499557,0.0748555491,0.0727819188,21,100
Market-Adjusted Model,10200,2012-10-22,-0.15878379,-0.124492778,-0.116551827,21,100
Market-Adjusted Model,10201,2012-10-22,-0.160782628,-0.125294647,-0.118550665,21,100
Market-Adjusted Model,10207,2012-10-22,-0.01940833,0.0235767458,0.0228236329,21,100
Market-Adjusted Model,10220,2012-10-22,0.025390611,0.068876938,0.0676225741,21,100
Market-Adjusted Model,10223,2012-10-22,-0.228915663,-0.194878431,-0.186683699,21,100
Market-Adjusted Model,10225,2012-10-22,-0.053302475,-0.010510676,-0.011070512,21,100
Market-Adjusted Model,10232,2012-10-22,0.0852328659,0.1321877751,0.127464829,21,100
Market-Adjusted Model,10239,2012-10-22,-0.065567016,-0.021999711,-0.023335053,21,100
